districtcode,nmprov,nmkab,kdprov,kdkab
1217,SUMATERA UTARA,SAMOSIR,12,17
3315,JAWA TENGAH,GROBOGAN,33,15
7571,GORONTALO,GORONTALO,75,71
7401,SULAWESI TENGGARA,BUTON,74,1
7402,SULAWESI TENGGARA,MUNA,74,2
1101,ACEH,SIMEULUE,11,1
1102,ACEH,ACEH SINGKIL,11,2
1103,ACEH,ACEH SELATAN,11,3
1104,ACEH,ACEH TENGGARA,11,4
1105,ACEH,ACEH TIMUR,11,5
1106,ACEH,ACEH TENGAH,11,6
1107,ACEH,ACEH BARAT,11,7
1108,ACEH,ACEH BESAR,11,8
1109,ACEH,PIDIE,11,9
1110,ACEH,BIREUEN,11,10
1111,ACEH,ACEH UTARA,11,11
1112,ACEH,ACEH BARAT DAYA,11,12
1113,ACEH,GAYO LUES,11,13
1114,ACEH,ACEH TAMIANG,11,14
1115,ACEH,NAGAN RAYA,11,15
1116,ACEH,ACEH JAYA,11,16
1117,ACEH,BENER MERIAH,11,17
1118,ACEH,PIDIE JAYA,11,18
1171,ACEH,BANDA ACEH,11,71
1172,ACEH,SABANG,11,72
1173,ACEH,LANGSA,11,73
1174,ACEH,LHOKSEUMAWE,11,74
1175,ACEH,SUBULUSSALAM,11,75
1201,SUMATERA UTARA,NIAS,12,1
1202,SUMATERA UTARA,MANDAILING NATAL,12,2
1203,SUMATERA UTARA,TAPANULI SELATAN,12,3
1204,SUMATERA UTARA,TAPANULI TENGAH,12,4
1205,SUMATERA UTARA,TAPANULI UTARA,12,5
1206,SUMATERA UTARA,TOBA,12,6
1207,SUMATERA UTARA,LABUHAN BATU,12,7
1208,SUMATERA UTARA,ASAHAN,12,8
1209,SUMATERA UTARA,SIMALUNGUN,12,9
1210,SUMATERA UTARA,DAIRI,12,10
1211,SUMATERA UTARA,KARO,12,11
1212,SUMATERA UTARA,DELI SERDANG,12,12
1213,SUMATERA UTARA,LANGKAT,12,13
1214,SUMATERA UTARA,NIAS SELATAN,12,14
1215,SUMATERA UTARA,HUMBANG HASUNDUTAN,12,15
1216,SUMATERA UTARA,PAKPAK BHARAT,12,16
1218,SUMATERA UTARA,SERDANG BEDAGAI,12,18
1219,SUMATERA UTARA,BATU BARA,12,19
1220,SUMATERA UTARA,PADANG LAWAS UTARA,12,20
1221,SUMATERA UTARA,PADANG LAWAS,12,21
1222,SUMATERA UTARA,LABUHAN BATU SELATAN,12,22
1223,SUMATERA UTARA,LABUHAN BATU UTARA,12,23
1224,SUMATERA UTARA,NIAS UTARA,12,24
1225,SUMATERA UTARA,NIAS BARAT,12,25
1271,SUMATERA UTARA,SIBOLGA,12,71
1272,SUMATERA UTARA,TANJUNG BALAI,12,72
1273,SUMATERA UTARA,PEMATANG SIANTAR,12,73
1274,SUMATERA UTARA,TEBING TINGGI,12,74
1275,SUMATERA UTARA,MEDAN,12,75
1276,SUMATERA UTARA,BINJAI,12,76
1277,SUMATERA UTARA,PADANGSIDIMPUAN,12,77
1278,SUMATERA UTARA,GUNUNGSITOLI,12,78
